,User country,Nr. reviews,Nr. hotel reviews,Helpful votes,Score,Period of stay,Traveler type,Pool,Gym,Tennis court,Spa,Casino,Free internet,Hotel name,Hotel stars,Nr. rooms,Member years,Review month,Review weekday
0,46,11,4,13,5,3,3,0,1,0,0,1,1,2,0,3773,9,4,4
1,46,119,21,75,3,3,0,0,1,0,0,1,1,2,0,3773,3,4,0
2,46,36,9,25,5,1,2,0,1,0,0,1,1,2,0,3773,2,3,2
3,45,14,7,14,4,1,3,0,1,0,0,1,1,2,0,3773,6,3,0
4,3,5,5,2,4,1,4,0,1,0,0,1,1,2,0,3773,7,7,5
5,3,31,8,27,3,1,1,0,1,0,0,1,1,2,0,3773,2,7,5
6,45,45,12,46,4,1,1,0,1,0,0,1,1,2,0,3773,4,0,0
7,46,2,1,4,4,1,2,0,1,0,0,1,1,2,0,3773,0,0,5
8,17,24,3,8,4,1,3,0,1,0,0,1,1,2,0,3773,3,8,2
9,3,12,7,11,3,1,2,0,1,0,0,1,1,2,0,3773,5,8,5
10,46,102,24,58,2,2,2,0,1,0,0,1,1,2,0,3773,9,6,0
11,0,20,9,24,3,2,3,0,1,0,0,1,1,2,0,3773,4,6,2
12,46,7,6,9,2,2,3,0,1,0,0,1,1,2,0,3773,1,5,6
13,46,22,5,13,3,2,3,0,1,0,0,1,1,2,0,3773,1,5,4
14,45,3,3,0,3,2,3,0,1,0,0,1,1,2,0,3773,1,1,3
15,31,146,17,33,4,2,2,0,1,0,0,1,1,2,0,3773,2,1,2
16,3,8,8,9,1,0,2,0,1,0,0,1,1,2,0,3773,4,11,6
17,46,9,3,1,4,0,2,0,1,0,0,1,1,2,0,3773,2,11,2
18,3,41,9,19,3,0,1,0,1,0,0,1,1,2,0,3773,2,10,5
19,46,8,7,26,2,0,1,0,1,0,0,1,1,2,0,3773,10,10,1
20,45,10,5,2,4,0,1,0,1,0,0,1,1,2,0,3773,7,9,2
21,31,4,3,3,1,0,1,0,1,0,0,1,1,2,0,3773,3,9,1
22,45,18,7,19,4,3,2,0,1,0,0,1,1,2,0,3773,0,2,2
23,46,4,4,3,2,3,1,0,1,0,0,1,1,2,0,3773,5,2,3
24,20,29,11,15,4,3,1,1,1,0,1,1,1,4,0,3981,3,4,1
25,46,114,42,52,4,3,0,1,1,0,1,1,1,4,0,3981,11,4,2
26,3,30,12,17,5,3,1,1,1,0,1,1,1,4,0,3981,8,3,0
27,45,87,18,36,3,3,0,1,1,0,1,1,1,4,0,3981,3,3,4
28,46,26,10,28,5,1,4,1,1,0,1,1,1,4,0,3981,1,7,6
29,20,8,7,9,5,1,1,1,1,0,1,1,1,4,0,3981,8,7,6
30,3,11,8,13,5,1,1,1,1,0,1,1,1,4,0,3981,7,0,0
31,0,4,3,2,3,1,1,1,1,0,1,1,1,4,0,3981,0,0,0
32,3,56,8,7,3,1,4,1,1,0,1,1,1,4,0,3981,1,8,5
33,9,13,12,8,3,1,3,1,1,0,1,1,1,4,0,3981,4,8,6
34,0,58,9,15,4,2,1,1,1,0,1,1,1,4,0,3981,0,6,2
35,10,20,7,4,3,2,1,1,1,0,1,1,1,4,0,3981,6,6,2
36,46,70,27,24,4,2,3,1,1,0,1,1,1,4,0,3981,6,5,0
37,25,6,3,7,4,2,3,1,1,0,1,1,1,4,0,3981,1,5,4
38,46,290,263,299,4,2,1,1,1,0,1,1,1,4,0,3981,10,1,1
39,46,24,6,9,2,2,2,1,1,0,1,1,1,4,0,3981,2,1,6
40,24,29,8,21,3,0,0,1,1,0,1,1,1,4,0,3981,2,11,6
41,3,20,5,59,3,0,1,1,1,0,1,1,1,4,0,3981,8,11,2
42,30,3,3,3,3,0,2,1,1,0,1,1,1,4,0,3981,4,10,2
43,20,47,6,27,4,0,3,1,1,0,1,1,1,4,0,3981,5,10,1
44,46,35,8,19,4,0,2,1,1,0,1,1,1,4,0,3981,6,9,3
45,45,6,0,4,4,0,3,1,1,0,1,1,1,4,0,3981,1,9,3
46,45,74,47,54,4,3,1,1,1,0,1,1,1,4,0,3981,7,2,6
47,42,34,8,30,3,3,4,1,1,0,1,1,1,4,0,3981,4,2,5
48,45,576,43,340,3,3,1,1,1,0,1,1,0,8,2,3003,3,4,1
49,46,20,8,11,4,3,4,1,1,0,1,1,0,8,2,3003,5,4,2
50,46,418,32,132,2,3,1,1,1,0,1,1,0,8,2,3003,3,3,5
51,46,73,13,22,4,3,1,1,1,0,1,1,0,8,2,3003,2,3,5
52,3,30,10,32,3,1,1,1,1,0,1,1,0,8,2,3003,2,7,6
53,46,63,15,17,4,1,0,1,1,0,1,1,0,8,2,3003,2,7,5
54,36,24,10,13,5,1,1,1,1,0,1,1,0,8,2,3003,5,0,6
55,38,54,18,16,2,1,0,1,1,0,1,1,0,8,2,3003,5,0,5
56,0,20,7,11,4,1,1,1,1,0,1,1,0,8,2,3003,2,8,0
57,45,41,7,24,4,1,1,1,1,0,1,1,0,8,2,3003,3,8,1
58,20,7,5,7,4,2,1,1,1,0,1,1,0,8,2,3003,9,6,5
59,3,13,9,15,4,2,3,1,1,0,1,1,0,8,2,3003,1,6,1
60,45,10,5,4,4,2,2,1,1,0,1,1,0,8,2,3003,1,5,0
61,31,9,6,19,3,2,1,1,1,0,1,1,0,8,2,3003,7,5,6
62,40,36,19,36,2,2,4,1,1,0,1,1,0,8,2,3003,5,1,4
63,45,33,12,19,3,2,2,1,1,0,1,1,0,8,2,3003,5,1,2
64,47,156,126,142,3,0,3,1,1,0,1,1,0,8,2,3003,8,11,0
65,20,19,17,16,4,0,1,1,1,0,1,1,0,8,2,3003,5,11,6
66,46,23,17,11,3,0,2,1,1,0,1,1,0,8,2,3003,1,10,0
67,46,13,3,3,2,0,1,1,1,0,1,1,0,8,2,3003,1,10,3
68,16,8,5,8,4,0,1,1,1,0,1,1,0,8,2,3003,8,9,0
69,4,1,0,2,1,0,0,1,1,0,1,1,0,8,2,3003,0,9,6
70,13,21,18,6,2,3,0,1,1,0,1,1,0,8,2,3003,0,2,3
71,29,56,14,36,5,3,1,1,1,0,1,1,0,8,2,3003,3,2,1
72,6,29,11,14,3,3,0,1,1,1,1,1,1,15,2,2884,6,4,3
73,0,11,5,8,4,3,1,1,1,1,1,1,1,15,2,2884,1,4,4
74,3,19,12,167,4,3,3,1,1,1,1,1,1,15,2,2884,9,3,1
75,46,17,9,16,5,3,4,1,1,1,1,1,1,15,2,2884,-1806,3,1
76,46,43,8,20,4,1,1,1,1,1,1,1,1,15,2,2884,1,7,0
77,3,12,8,3,4,1,3,1,1,1,1,1,1,15,2,2884,2,7,2
78,46,15,14,7,4,1,3,1,1,1,1,1,1,15,2,2884,9,0,5
79,0,16,13,16,3,1,2,1,1,1,1,1,1,15,2,2884,6,0,6
80,17,12,4,25,3,1,2,1,1,1,1,1,1,15,2,2884,1,8,0
81,12,10,0,5,4,1,3,1,1,1,1,1,1,15,2,2884,3,8,3
82,46,27,17,16,3,2,2,1,1,1,1,1,1,15,2,2884,6,6,4
83,3,6,5,5,4,2,1,1,1,1,1,1,1,15,2,2884,2,6,5
84,0,21,20,14,5,2,1,1,1,1,1,1,1,15,2,2884,3,5,6
85,28,43,14,27,4,2,4,1,1,1,1,1,1,15,2,2884,5,5,4
86,29,97,31,37,4,2,1,1,1,1,1,1,1,15,2,2884,8,1,2
87,45,7,3,4,4,2,1,1,1,1,1,1,1,15,2,2884,5,1,0
88,45,11,9,6,3,0,1,1,1,1,1,1,1,15,2,2884,0,11,0
89,46,78,11,30,4,0,0,1,1,1,1,1,1,15,2,2884,2,11,5
90,0,12,7,4,5,0,2,1,1,1,1,1,1,15,2,2884,5,10,1
91,46,27,11,5,3,0,1,1,1,1,1,1,1,15,2,2884,2,10,1
92,44,4,3,1,5,0,1,1,1,1,1,1,1,15,2,2884,7,9,0
93,0,27,9,8,4,0,2,1,1,1,1,1,1,15,2,2884,2,9,0
94,3,12,3,7,4,3,3,1,1,1,1,1,1,15,2,2884,4,2,2
95,3,21,16,48,5,3,1,1,1,1,1,1,1,15,2,2884,12,2,4
96,45,34,17,30,4,3,2,1,1,1,1,1,1,16,2,1467,8,4,3
97,46,12,6,1,5,3,3,1,1,1,1,1,1,16,2,1467,2,4,3
98,33,79,39,51,3,3,1,1,1,1,1,1,1,16,2,1467,5,3,6
99,21,18,10,16,3,3,0,1,1,1,1,1,1,16,2,1467,2,3,4
100,3,13,3,8,4,1,0,1,1,1,1,1,1,16,2,1467,3,7,6
101,45,14,4,9,4,1,1,1,1,1,1,1,1,16,2,1467,1,7,0
102,20,19,9,28,5,1,1,1,1,1,1,1,1,16,2,1467,3,0,0
103,18,88,15,103,4,1,0,1,1,1,1,1,1,16,2,1467,3,0,1
104,31,8,4,0,4,1,1,1,1,1,1,1,1,16,2,1467,1,8,5
105,1,39,15,31,3,1,3,1,1,1,1,1,1,16,2,1467,1,8,3
106,45,130,41,61,4,2,0,1,1,1,1,1,1,16,2,1467,3,6,5
107,0,79,78,105,4,2,3,1,1,1,1,1,1,16,2,1467,7,6,6
108,45,13,10,16,4,2,4,1,1,1,1,1,1,16,2,1467,10,5,6
109,45,18,6,17,4,2,1,1,1,1,1,1,1,16,2,1467,1,5,1
110,31,8,7,3,5,2,3,1,1,1,1,1,1,16,2,1467,1,1,2
111,0,15,4,6,5,2,1,1,1,1,1,1,1,16,2,1467,0,1,0
112,3,27,0,9,1,0,1,1,1,1,1,1,1,16,2,1467,0,11,5
113,0,5,3,2,5,0,1,1,1,1,1,1,1,16,2,1467,5,11,6
114,45,22,6,6,5,0,3,1,1,1,1,1,1,16,2,1467,1,10,5
115,46,5,3,11,2,0,3,1,1,1,1,1,1,16,2,1467,1,10,4
116,17,31,8,11,4,0,4,1,1,1,1,1,1,16,2,1467,1,9,3
117,30,33,8,8,5,0,3,1,1,1,1,1,1,16,2,1467,7,9,2
118,45,10,6,11,5,3,1,1,1,1,1,1,1,16,2,1467,4,2,2
119,45,12,3,3,5,3,2,1,1,1,1,1,1,16,2,1467,4,2,4
120,46,50,14,24,5,3,3,1,1,0,1,1,1,1,4,3348,7,4,6
121,46,161,33,85,4,3,1,1,1,0,1,1,1,1,4,3348,3,4,0
122,34,153,38,81,5,3,2,1,1,0,1,1,1,1,4,3348,10,3,5
123,3,14,3,12,5,3,2,1,1,0,1,1,1,1,4,3348,2,3,4
124,46,31,12,10,5,1,2,1,1,0,1,1,1,1,4,3348,4,7,0
125,46,15,10,29,3,1,2,1,1,0,1,1,1,1,4,3348,9,7,0
126,3,5,5,4,5,1,1,1,1,0,1,1,1,1,4,3348,3,0,4
127,46,46,4,21,4,1,1,1,1,0,1,1,1,1,4,3348,2,0,2
128,45,15,6,39,1,1,1,1,1,0,1,1,1,1,4,3348,4,8,3
129,45,63,27,35,4,1,1,1,1,0,1,1,1,1,4,3348,5,8,6
130,46,17,15,13,4,2,1,1,1,0,1,1,1,1,4,3348,2,6,3
131,46,25,22,36,1,2,4,1,1,0,1,1,1,1,4,3348,9,6,5
132,46,14,8,4,5,2,1,1,1,0,1,1,1,1,4,3348,1,5,1
133,45,59,56,37,3,2,2,1,1,0,1,1,1,1,4,3348,6,5,5
134,45,11,10,17,5,2,2,1,1,0,1,1,1,1,4,3348,3,1,0
135,3,54,18,31,4,2,3,1,1,0,1,1,1,1,4,3348,5,1,6
136,46,4,3,4,5,0,1,1,1,0,1,1,1,1,4,3348,3,11,1
137,46,10,7,7,5,0,1,1,1,0,1,1,1,1,4,3348,3,11,5
138,46,14,6,7,5,0,0,1,1,0,1,1,1,1,4,3348,11,10,3
139,46,39,12,16,5,0,3,1,1,0,1,1,1,1,4,3348,2,10,4
140,0,35,24,43,5,0,1,1,1,0,1,1,1,1,4,3348,4,9,3
141,0,6,6,9,3,0,2,1,1,0,1,1,1,1,4,3348,0,9,3
142,46,23,7,2,4,3,2,1,1,0,1,1,1,1,4,3348,3,2,0
143,46,48,21,67,4,3,1,1,1,0,1,1,1,1,4,3348,13,2,3
144,0,16,9,14,4,3,3,1,1,0,1,1,1,10,4,2959,3,4,4
145,0,12,6,3,5,3,3,1,1,0,1,1,1,10,4,2959,1,4,4
146,41,36,9,15,4,3,3,1,1,0,1,1,1,10,4,2959,2,3,2
147,45,127,40,80,5,3,1,1,1,0,1,1,1,10,4,2959,8,3,6
148,46,12,5,1,5,1,1,1,1,0,1,1,1,10,4,2959,1,7,1
149,46,17,17,74,5,1,1,1,1,0,1,1,1,10,4,2959,10,7,2
150,20,23,7,21,4,1,3,1,1,0,1,1,1,10,4,2959,7,0,4
151,46,102,17,45,5,1,0,1,1,0,1,1,1,10,4,2959,2,0,1
152,12,113,15,55,5,1,2,1,1,0,1,1,1,10,4,2959,8,8,4
153,46,30,8,10,2,1,0,1,1,0,1,1,1,10,4,2959,1,8,6
154,12,24,24,24,2,2,1,1,1,0,1,1,1,10,4,2959,7,6,6
155,20,15,5,18,5,2,3,1,1,0,1,1,1,10,4,2959,3,6,6
156,46,6,4,14,1,2,0,1,1,0,1,1,1,10,4,2959,1,5,6
157,0,3,3,0,4,2,3,1,1,0,1,1,1,10,4,2959,7,5,5
158,3,41,10,56,5,2,2,1,1,0,1,1,1,10,4,2959,4,1,2
159,46,19,8,56,4,2,1,1,1,0,1,1,1,10,4,2959,10,1,3
160,45,18,9,10,5,0,1,1,1,0,1,1,1,10,4,2959,1,11,6
161,32,6,6,7,5,0,1,1,1,0,1,1,1,10,4,2959,7,11,5
162,46,103,5,98,5,0,1,1,1,0,1,1,1,10,4,2959,7,10,1
163,45,18,4,16,5,0,3,1,1,0,1,1,1,10,4,2959,0,10,0
164,9,9,7,7,5,0,0,1,1,0,1,1,1,10,4,2959,5,9,6
165,46,50,19,45,5,0,0,1,1,0,1,1,1,10,4,2959,0,9,0
166,3,4,3,8,2,3,1,1,1,0,1,1,1,10,4,2959,8,2,5
167,46,7,3,8,5,3,2,1,1,0,1,1,1,10,4,2959,5,2,3
168,29,28,23,31,3,3,1,1,1,0,1,1,1,12,4,3025,4,4,0
169,46,32,6,11,5,3,2,1,1,0,1,1,1,12,4,3025,10,4,0
170,3,4,0,4,5,3,1,1,1,0,1,1,1,12,4,3025,9,3,0
171,46,37,8,9,4,3,1,1,1,0,1,1,1,12,4,3025,3,3,5
172,3,10,3,7,5,1,2,1,1,0,1,1,1,12,4,3025,6,7,6
173,3,36,30,80,5,1,2,1,1,0,1,1,1,12,4,3025,8,7,0
174,46,31,10,14,4,1,1,1,1,0,1,1,1,12,4,3025,5,0,3
175,3,66,33,60,5,1,1,1,1,0,1,1,1,12,4,3025,10,0,2
176,11,17,4,8,5,1,1,1,1,0,1,1,1,12,4,3025,0,8,2
177,45,57,20,71,5,1,0,1,1,0,1,1,1,12,4,3025,0,8,0
178,46,42,8,22,4,2,3,1,1,0,1,1,1,12,4,3025,6,6,1
179,46,28,20,14,3,2,1,1,1,0,1,1,1,12,4,3025,8,6,0
180,39,19,8,10,4,2,3,1,1,0,1,1,1,12,4,3025,3,5,6
181,46,20,11,21,5,2,2,1,1,0,1,1,1,12,4,3025,9,5,0
182,45,75,19,93,4,2,3,1,1,0,1,1,1,12,4,3025,8,1,3
183,46,91,16,26,4,2,0,1,1,0,1,1,1,12,4,3025,3,1,6
184,45,52,48,78,3,0,3,1,1,0,1,1,1,12,4,3025,8,11,2
185,46,93,4,8,5,0,2,1,1,0,1,1,1,12,4,3025,2,11,2
186,3,9,3,15,5,0,2,1,1,0,1,1,1,12,4,3025,1,10,6
187,0,5,3,9,5,0,1,1,1,0,1,1,1,12,4,3025,2,10,4
188,37,37,7,10,5,0,3,1,1,0,1,1,1,12,4,3025,0,9,3
189,2,31,25,35,3,0,2,1,1,0,1,1,1,12,4,3025,7,9,3
190,46,6,4,4,5,3,1,1,1,0,1,1,1,12,4,3025,7,2,4
191,46,252,55,113,4,3,2,1,1,0,1,1,1,12,4,3025,8,2,1
192,46,164,48,82,5,3,1,1,1,1,1,1,1,20,4,2700,4,4,2
193,46,5,3,9,5,3,2,1,1,1,1,1,1,20,4,2700,4,4,5
194,3,7,5,20,4,3,1,1,1,1,1,1,1,20,4,2700,3,3,2
195,46,18,11,15,5,3,1,1,1,1,1,1,1,20,4,2700,7,3,5
196,46,20,13,16,5,1,3,1,1,1,1,1,1,20,4,2700,6,7,0
197,46,21,5,12,4,1,0,1,1,1,1,1,1,20,4,2700,8,7,1
198,46,125,35,48,5,1,0,1,1,1,1,1,1,20,4,2700,4,0,3
199,46,11,7,10,4,1,1,1,1,1,1,1,1,20,4,2700,1,0,1
200,37,16,10,16,3,1,4,1,1,1,1,1,1,20,4,2700,7,8,1
201,45,19,5,5,5,1,1,1,1,1,1,1,1,20,4,2700,3,8,1
202,46,73,27,365,5,2,1,1,1,1,1,1,1,20,4,2700,6,6,6
203,46,5,4,4,5,2,1,1,1,1,1,1,1,20,4,2700,11,6,6
204,46,30,10,17,5,2,1,1,1,1,1,1,1,20,4,2700,3,5,1
205,3,7,4,10,5,2,1,1,1,1,1,1,1,20,4,2700,3,5,3
206,3,67,46,99,5,2,1,1,1,1,1,1,1,20,4,2700,6,1,3
207,10,18,13,25,5,2,4,1,1,1,1,1,1,20,4,2700,9,1,2
208,3,12,7,11,2,0,0,1,1,1,1,1,1,20,4,2700,4,11,1
209,3,40,12,26,5,0,3,1,1,1,1,1,1,20,4,2700,7,11,2
210,46,142,17,31,4,0,1,1,1,1,1,1,1,20,4,2700,3,10,1
211,45,8,4,16,5,0,1,1,1,1,1,1,1,20,4,2700,7,10,2
212,5,15,9,3,5,0,0,1,1,1,1,1,1,20,4,2700,2,9,1
213,45,2,18,14,5,0,1,1,1,1,1,1,1,20,4,2700,8,9,6
214,45,10,6,10,5,3,1,1,1,1,1,1,1,20,4,2700,5,2,5
215,46,16,13,55,5,3,1,1,1,1,1,1,1,20,4,2700,9,2,5
216,45,21,7,13,5,3,4,1,1,0,1,1,1,17,4,1282,10,4,5
217,17,69,58,41,5,3,0,1,1,0,1,1,1,17,4,1282,5,4,2
218,46,33,13,8,5,3,0,1,1,0,1,1,1,17,4,1282,5,3,6
219,46,1,0,2,5,3,2,1,1,0,1,1,1,17,4,1282,0,3,5
220,46,49,8,23,5,1,1,1,1,0,1,1,1,17,4,1282,5,7,1
221,46,775,52,255,3,1,1,1,1,0,1,1,1,17,4,1282,2,7,6
222,47,16,7,6,4,1,1,1,1,0,1,1,1,17,4,1282,7,0,1
223,46,1,0,1,5,1,1,1,1,0,1,1,1,17,4,1282,0,0,6
224,37,19,11,17,4,1,2,1,1,0,1,1,1,17,4,1282,7,8,0
225,2,7,4,8,5,1,2,1,1,0,1,1,1,17,4,1282,7,8,3
226,46,38,18,16,5,2,1,1,1,0,1,1,1,17,4,1282,8,6,3
227,46,48,14,30,5,2,0,1,1,0,1,1,1,17,4,1282,9,6,6
228,3,136,20,55,5,2,2,1,1,0,1,1,1,17,4,1282,3,5,3
229,46,26,8,1,4,2,2,1,1,0,1,1,1,17,4,1282,6,5,1
230,19,3,3,2,4,2,1,1,1,0,1,1,1,17,4,1282,4,1,3
231,46,78,17,24,5,2,1,1,1,0,1,1,1,17,4,1282,5,1,1
232,45,24,18,12,5,0,2,1,1,0,1,1,1,17,4,1282,0,11,4
233,9,2,0,15,1,0,2,1,1,0,1,1,1,17,4,1282,1,11,1
234,20,4,3,3,5,0,3,1,1,0,1,1,1,17,4,1282,11,10,4
235,0,11,7,17,5,0,1,1,1,0,1,1,1,17,4,1282,2,10,2
236,12,1,0,1,2,0,1,1,1,0,1,1,1,17,4,1282,0,9,6
237,0,35,16,17,4,0,2,1,1,0,1,1,1,17,4,1282,2,9,5
238,46,110,19,76,4,3,0,1,1,0,1,1,1,17,4,1282,2,2,5
239,46,53,25,24,5,3,1,1,1,0,1,1,1,17,4,1282,3,2,3
240,35,320,45,102,3,3,0,1,0,0,0,1,1,11,3,188,6,4,5
241,46,2,0,2,4,3,0,1,0,0,0,1,1,11,3,188,1,4,2
242,46,26,6,12,5,3,2,1,0,0,0,1,1,11,3,188,1,3,3
243,46,4,4,0,5,3,1,1,0,0,0,1,1,11,3,188,2,3,1
244,46,9,9,6,2,1,4,1,0,0,0,1,1,11,3,188,1,7,6
245,46,17,14,70,5,1,3,1,0,0,0,1,1,11,3,188,10,7,3
246,3,3,0,1,5,1,1,1,0,0,0,1,1,11,3,188,1,0,5
247,3,14,0,4,2,1,2,1,0,0,0,1,1,11,3,188,4,0,5
248,46,235,111,267,5,1,3,1,0,0,0,1,1,11,3,188,9,8,0
249,46,59,9,21,5,1,1,1,0,0,0,1,1,11,3,188,3,8,1
